NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct
1000001,Tarwi,,495,48.5,22.4,,22,17.5,0,226.5,7,,,13.7,30.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,9.5,7.1,,,,,,
1000002,"Optimum Nutrition, Gold Standard, 100% Whey, Cookies & Cream",,387.1,77.42,3.23,,9.68,,6.45,419.35,0,,,516.13,354.84,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,1.61,,,129.03,,,,,
1000003,Salt,,,,,,,,,,,,,,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000004,Sunvit Calcium Citrate (1 tablet),,,,,,,,,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,
1000005,Vitamin E (1 pill),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,
1000006,"Pan Bimbo Integral ""Vital""",,270.93,13.95,5.81,,40.7,5.81,6.98,,,,,,348.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16,1.16,3.49,,,,,,
1000007,Maca Gelatinizada,,347.9,13.3,1.2,,71.1,3.5,18,250,16.27,,,2050,18.5,,,,,,0.5,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000008,"Nutrex, IsoFit Whey Isolate, Cookies & Cream",,374.64,72.05,4.32,,11.53,2.88,2.88,345.82,0.58,,,461.1,634.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2.88,,,7.2,,,,,
1000009,Vitamin C (1/4 pill),,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000010,Vitamin D (1 pill),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,
1000011,"Isopure Protein Powder, Zero Carb, Creamy Vanilla",,323.58,80.65,0,,0,,0,1096.77,,322.58,935.48,1225.81,774.19,13.55,1.94,1.61,58.06,48.39,1.29,1.29,16.13,8.06,1.61,548.39,,,,,10.97,4086,,,,,,,,16.13,,,64.52,0,0,0,32.26,,,,,
