NDB_No,Shrt_Desc,GI,is_discrete,min_amount_gr,max_amount_gr
01132,"EGG,WHL,CKD,SCRMBLD",0,FALSE,0,350
05064,"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT ONLY,CKD,RSTD",0,FALSE,0,350
08120,"CEREALS,OATS,REG & QUICK,NOT FORT,DRY",83,FALSE,80,350
09037,"AVOCADOS,RAW,ALL COMM VAR",10,FALSE,0,350
09148,"KIWIFRUIT,GRN,RAW",50,FALSE,0,120
11053,"BEANS,SNAP,GRN,CKD,BLD,DRND,WO/SALT",32,FALSE,0,350
11124,"CARROTS,RAW",40,FALSE,0,350
11282,"ONIONS,RAW",10,FALSE,0,120
11305,"PEAS,GRN,CKD,BLD,DRND,WO/SALT",51,FALSE,0,350
11364,"POTATOES,BKD,SKN,WO/SALT",85,FALSE,0,350
11510,"SWEET POTATO,CKD,BLD,WO/ SKN",80,FALSE,0,0
11854,"SPINACH,CKD,BLD,DRND,W/SALT",15,FALSE,0,350
12006,"CHIA SEEDS,DRIED",30,FALSE,0,350
12563,"ALMONDS,DRY RSTD,W/SALT",0,FALSE,0,20
15119,"TUNA,LT,CND IN OIL,DRND SOL",0,FALSE,0,100
16005,"BEANS,BAKED,HOME PREPARED",47,FALSE,0,350
16057,"CHICKPEAS ,MATURE SEEDS,CKD,BLD,WO/SALT",28,FALSE,0,150
16070,"LENTILS,MATURE SEEDS,CKD,BLD,WO/SALT",29,FALSE,0,350
16090,"PEANUTS,ALL TYPES,DRY-ROASTED,W/SALT",14,FALSE,0,350
20137,"QUINOA,CKD",53,FALSE,0,350
23562,"BEEF,GROUND,90% LN MEAT / 10% FAT,RAW",0,FALSE,0,350
12085,"CASHEW NUTS,DRY RSTD,WO/SALT",25,FALSE,0,350
20002,"AMARANTH GRAIN,CKD",107,FALSE,0,350
1000001,Tarwi,10,FALSE,0,30
1000002,"Optimum Nutrition, Gold Standard, 100% Whey, Cookies & Cream",43,FALSE,31,54
1000003,Salt,0,FALSE,0,350
1000004,Sunvit Calcium Citrate (1 tablet),0,TRUE,0,10
1000005,Vitamin E (1 pill),0,TRUE,0,10
1000006,"Pan Bimbo Integral ""Vital""",75,FALSE,0,172
1000007,Maca Gelatinizada,55,FALSE,0,15
1000008,"Nutrex, IsoFit Whey Isolate, Cookies & Cream",43,FALSE,0,350
11529,"TOMATOES,RED,RIPE,RAW,YEAR RND AVERAGE",15,FALSE,0,0
20041,"RICE,BROWN,MEDIUM-GRAIN,CKD",55,FALSE,0,500
09003,"APPLES,RAW,WITH SKIN",40,FALSE,0,0
09287,"PRICKLY PEARS,RAW",35,FALSE,0,500
1000009,Vitamin C (1/4 pill),0,TRUE,0,10
23346,"BEEF,LOIN,TENDERLOIN RST,BNLESS,L & F,0"" FAT,CHOIC,CKD,RSTD",0,FALSE,0,200
11823,"PEPPERS,SWT,RED,CKD,BLD,DRND,WO/SALT",40,FALSE,0,0
01016,"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",30,FALSE,0,0
09218,"TANGERINES,(MANDARIN ORANGES),RAW",30,FALSE,0,300
09040,"BANANAS,RAW",51,FALSE,0,1000
11992,"MUSHROOMS,WHITE,MICROWAVED",36,FALSE,0,350
20321,"PASTA,CKD,ENR,W/ ADDED SALT",55,FALSE,0,350
1000010,Vitamin D (1 pill),0,TRUE,0,5
09326,"WATERMELON,RAW",80,FALSE,0,1000
1000011,"Isopure Protein Powder, Zero Carb, Creamy Vanilla",0,FALSE,0,54
16086,"PEAS,SPLIT,MATURE SEEDS,CKD,BLD,WO/SALT",30,FALSE,0,150
01129,"EGG,WHL,CKD,HARD-BOILED",0,FALSE,0,350
12016,"PUMPKIN&SQUASH SD KRNLS,RSTD,WO/SALT",25,FALSE,0,100
